id	cycle	FieldID	ImageResolutionX	ImageResolutionY	ImageSizeX	ImageSizeY	PositionX	PositionY
183	3	5	5.97976080956762e-07	5.97976080956762e-07	1080	1080	0.001743698	0.002324931
184	3	6	5.97976080956762e-07	5.97976080956762e-07	1080	1080	0.001162466	0.002324931
185	3	7	5.97976080956762e-07	5.97976080956762e-07	1080	1080	0.000581233	0.002324931
186	3	8	5.97976080956762e-07	5.97976080956762e-07	1080	1080	0	0.002324931
187	3	9	5.97976080956762e-07	5.97976080956762e-07	1080	1080	-0.000581233	0.002324931
188	3	10	5.97976080956762e-07	5.97976080956762e-07	1080	1080	-0.001162465	0.002324931
189	3	11	5.97976080956762e-07	5.97976080956762e-07	1080	1080	-0.001743698	0.002324931
190	3	12	5.97976080956762e-07	5.97976080956762e-07	1080	1080	-0.002324931	0.001743698
191	3	13	5.97976080956762e-07	5.97976080956762e-07	1080	1080	-0.001743698	0.001743698
192	3	14	5.97976080956762e-07	5.97976080956762e-07	1080	1080	-0.001162465	0.001743698
193	3	15	5.97976080956762e-07	5.97976080956762e-07	1080	1080	-0.000581233	0.001743698
194	3	16	5.97976080956762e-07	5.97976080956762e-07	1080	1080	0	0.001743698
195	3	17	5.97976080956762e-07	5.97976080956762e-07	1080	1080	0.000581233	0.001743698
196	3	18	5.97976080956762e-07	5.97976080956762e-07	1080	1080	0.001162466	0.001743698
197	3	19	5.97976080956762e-07	5.97976080956762e-07	1080	1080	0.001743698	0.001743698
198	3	20	5.97976080956762e-07	5.97976080956762e-07	1080	1080	0.002324931	0.001743698
199	3	21	5.97976080956762e-07	5.97976080956762e-07	1080	1080	0.002324931	0.001162466
200	3	22	5.97976080956762e-07	5.97976080956762e-07	1080	1080	0.001743698	0.001162466
201	3	23	5.97976080956762e-07	5.97976080956762e-07	1080	1080	0.001162466	0.001162466
202	3	24	5.97976080956762e-07	5.97976080956762e-07	1080	1080	0.000581233	0.001162466
203	3	25	5.97976080956762e-07	5.97976080956762e-07	1080	1080	0	0.001162466
204	3	26	5.97976080956762e-07	5.97976080956762e-07	1080	1080	-0.000581233	0.001162466
205	3	27	5.97976080956762e-07	5.97976080956762e-07	1080	1080	-0.001162465	0.001162466
206	3	28	5.97976080956762e-07	5.97976080956762e-07	1080	1080	-0.001743698	0.001162466
207	3	29	5.97976080956762e-07	5.97976080956762e-07	1080	1080	-0.002324931	0.001162466
208	3	30	5.97976080956762e-07	5.97976080956762e-07	1080	1080	-0.002906164	0.000581233
209	3	31	5.97976080956762e-07	5.97976080956762e-07	1080	1080	-0.002324931	0.000581233
210	3	32	5.97976080956762e-07	5.97976080956762e-07	1080	1080	-0.001743698	0.000581233
211	3	33	5.97976080956762e-07	5.97976080956762e-07	1080	1080	-0.001162465	0.000581233
212	3	34	5.97976080956762e-07	5.97976080956762e-07	1080	1080	-0.000581233	0.000581233
213	3	35	5.97976080956762e-07	5.97976080956762e-07	1080	1080	0	0.000581233
214	3	36	5.97976080956762e-07	5.97976080956762e-07	1080	1080	0.000581233	0.000581233
215	3	37	5.97976080956762e-07	5.97976080956762e-07	1080	1080	0.001162466	0.000581233
216	3	38	5.97976080956762e-07	5.97976080956762e-07	1080	1080	0.001743698	0.000581233
217	3	39	5.97976080956762e-07	5.97976080956762e-07	1080	1080	0.002324931	0.000581233
218	3	40	5.97976080956762e-07	5.97976080956762e-07	1080	1080	0.002906164	0.000581233
219	3	41	5.97976080956762e-07	5.97976080956762e-07	1080	1080	0.002906164	0
220	3	42	5.97976080956762e-07	5.97976080956762e-07	1080	1080	0.002324931	0
221	3	43	5.97976080956762e-07	5.97976080956762e-07	1080	1080	0.001743698	0
222	3	44	5.97976080956762e-07	5.97976080956762e-07	1080	1080	0.001162466	0
223	3	45	5.97976080956762e-07	5.97976080956762e-07	1080	1080	0.000581233	0
224	3	46	5.97976080956762e-07	5.97976080956762e-07	1080	1080	-0.000581233	0
225	3	47	5.97976080956762e-07	5.97976080956762e-07	1080	1080	-0.001162465	0
226	3	48	5.97976080956762e-07	5.97976080956762e-07	1080	1080	-0.001743698	0
227	3	49	5.97976080956762e-07	5.97976080956762e-07	1080	1080	-0.002324931	0
228	3	50	5.97976080956762e-07	5.97976080956762e-07	1080	1080	-0.002906164	0
229	3	51	5.97976080956762e-07	5.97976080956762e-07	1080	1080	-0.002906164	-0.000581233
230	3	52	5.97976080956762e-07	5.97976080956762e-07	1080	1080	-0.002324931	-0.000581233
231	3	53	5.97976080956762e-07	5.97976080956762e-07	1080	1080	-0.001743698	-0.000581233
232	3	54	5.97976080956762e-07	5.97976080956762e-07	1080	1080	-0.001162465	-0.000581233
233	3	55	5.97976080956762e-07	5.97976080956762e-07	1080	1080	-0.000581233	-0.000581233
234	3	56	5.97976080956762e-07	5.97976080956762e-07	1080	1080	0	-0.000581233
235	3	57	5.97976080956762e-07	5.97976080956762e-07	1080	1080	0.000581233	-0.000581233
236	3	58	5.97976080956762e-07	5.97976080956762e-07	1080	1080	0.001162466	-0.000581233
237	3	59	5.97976080956762e-07	5.97976080956762e-07	1080	1080	0.001743698	-0.000581233
238	3	60	5.97976080956762e-07	5.97976080956762e-07	1080	1080	0.002324931	-0.000581233
239	3	61	5.97976080956762e-07	5.97976080956762e-07	1080	1080	0.002906164	-0.000581233
240	3	62	5.97976080956762e-07	5.97976080956762e-07	1080	1080	0.002324931	-0.001162465
241	3	63	5.97976080956762e-07	5.97976080956762e-07	1080	1080	0.001743698	-0.001162465
242	3	64	5.97976080956762e-07	5.97976080956762e-07	1080	1080	0.001162466	-0.001162465
243	3	65	5.97976080956762e-07	5.97976080956762e-07	1080	1080	0.000581233	-0.001162465
244	3	66	5.97976080956762e-07	5.97976080956762e-07	1080	1080	0	-0.001162465
245	3	67	5.97976080956762e-07	5.97976080956762e-07	1080	1080	-0.000581233	-0.001162465
246	3	68	5.97976080956762e-07	5.97976080956762e-07	1080	1080	-0.001162465	-0.001162465
247	3	69	5.97976080956762e-07	5.97976080956762e-07	1080	1080	-0.001743698	-0.001162465
248	3	70	5.97976080956762e-07	5.97976080956762e-07	1080	1080	-0.002324931	-0.001162465
249	3	71	5.97976080956762e-07	5.97976080956762e-07	1080	1080	-0.002324931	-0.001743698
250	3	72	5.97976080956762e-07	5.97976080956762e-07	1080	1080	-0.001743698	-0.001743698
251	3	73	5.97976080956762e-07	5.97976080956762e-07	1080	1080	-0.001162465	-0.001743698
252	3	74	5.97976080956762e-07	5.97976080956762e-07	1080	1080	-0.000581233	-0.001743698
253	3	75	5.97976080956762e-07	5.97976080956762e-07	1080	1080	0	-0.001743698
254	3	76	5.97976080956762e-07	5.97976080956762e-07	1080	1080	0.000581233	-0.001743698
255	3	77	5.97976080956762e-07	5.97976080956762e-07	1080	1080	0.001162466	-0.001743698
256	3	78	5.97976080956762e-07	5.97976080956762e-07	1080	1080	0.001743698	-0.001743698
257	3	79	5.97976080956762e-07	5.97976080956762e-07	1080	1080	0.002324931	-0.001743698
258	3	80	5.97976080956762e-07	5.97976080956762e-07	1080	1080	0.001743698	-0.002324931
259	3	81	5.97976080956762e-07	5.97976080956762e-07	1080	1080	0.001162466	-0.002324931
260	3	82	5.97976080956762e-07	5.97976080956762e-07	1080	1080	0.000581233	-0.002324931
261	3	83	5.97976080956762e-07	5.97976080956762e-07	1080	1080	0	-0.002324931
262	3	84	5.97976080956762e-07	5.97976080956762e-07	1080	1080	-0.000581233	-0.002324931
263	3	85	5.97976080956762e-07	5.97976080956762e-07	1080	1080	-0.001162465	-0.002324931
264	3	86	5.97976080956762e-07	5.97976080956762e-07	1080	1080	-0.001743698	-0.002324931
265	3	87	5.97976080956762e-07	5.97976080956762e-07	1080	1080	-0.000581233	-0.002906164
266	3	88	5.97976080956762e-07	5.97976080956762e-07	1080	1080	0	-0.002906164
267	3	89	5.97976080956762e-07	5.97976080956762e-07	1080	1080	0.000581233	-0.002906164
268	4	1	5.97976080956762e-07	5.97976080956762e-07	1080	1080	0	0
269	4	2	5.97976080956762e-07	5.97976080956762e-07	1080	1080	-0.000581233	0.002906164
270	4	3	5.97976080956762e-07	5.97976080956762e-07	1080	1080	0	0.002906164
271	4	4	5.97976080956762e-07	5.97976080956762e-07	1080	1080	0.000581233	0.002906164
272	4	5	5.97976080956762e-07	5.97976080956762e-07	1080	1080	0.001743698	0.002324931
273	4	6	5.97976080956762e-07	5.97976080956762e-07	1080	1080	0.001162466	0.002324931
274	4	7	5.97976080956762e-07	5.97976080956762e-07	1080	1080	0.000581233	0.002324931
275	4	8	5.97976080956762e-07	5.97976080956762e-07	1080	1080	0	0.002324931
276	4	9	5.97976080956762e-07	5.97976080956762e-07	1080	1080	-0.000581233	0.002324931
277	4	10	5.97976080956762e-07	5.97976080956762e-07	1080	1080	-0.001162465	0.002324931
278	4	11	5.97976080956762e-07	5.97976080956762e-07	1080	1080	-0.001743698	0.002324931
279	4	12	5.97976080956762e-07	5.97976080956762e-07	1080	1080	-0.002324931	0.001743698
280	4	13	5.97976080956762e-07	5.97976080956762e-07	1080	1080	-0.001743698	0.001743698
281	4	14	5.97976080956762e-07	5.97976080956762e-07	1080	1080	-0.001162465	0.001743698
282	4	15	5.97976080956762e-07	5.97976080956762e-07	1080	1080	-0.000581233	0.001743698
283	4	16	5.97976080956762e-07	5.97976080956762e-07	1080	1080	0	0.001743698
284	4	17	5.97976080956762e-07	5.97976080956762e-07	1080	1080	0.000581233	0.001743698
285	4	18	5.97976080956762e-07	5.97976080956762e-07	1080	1080	0.001162466	0.001743698
286	4	19	5.97976080956762e-07	5.97976080956762e-07	1080	1080	0.001743698	0.001743698
287	4	20	5.97976080956762e-07	5.97976080956762e-07	1080	1080	0.002324931	0.001743698
288	4	21	5.97976080956762e-07	5.97976080956762e-07	1080	1080	0.002324931	0.001162466
289	4	22	5.97976080956762e-07	5.97976080956762e-07	1080	1080	0.001743698	0.001162466
