objId	EGFP	OLLAS	ALFA	FLAG	VSVG	bcd
B10n4874	8451.05	234.53	9912.02	322.78	10307.8	FLAG_ALFA_VSVG
B10n4877	3728.9	144.32	690.3	213.9	3807.7	FLAG_ALFA_VSVG
B10n4878	4177	149.18	4610.4	215.3	3307.87	FLAG_ALFA_VSVG
B10n4875	4939.25	221.42	5040.49	225.73	5295.59	FLAG_ALFA_VSVG
B10n4876	3247.75	164.79	3683.8	248.7	7748.855	FLAG_ALFA_VSVG
B10n4881	959.18	165.56	1161.84	191.48	920.4	FLAG_ALFA_VSVG
B10n4882	5658.85	162.4	6253.4	259.95	5651.9	FLAG_ALFA_VSVG
B10n4883	2093.8	150.415	2678.4	190	2084.36	FLAG_ALFA_VSVG
B10n4885	2875.36	168.49	4313.32	204.44	3276.4	FLAG_ALFA_VSVG
B10n4889	2887.6	106.8	2855.68	218.38	3214.25	FLAG_ALFA_VSVG
B10n4886	9670.76	219.795	13482.92	353.04	12623.44	FLAG_ALFA_VSVG
B10n4887	3716.96	105.51	3721.75	254.5	4713.56	FLAG_ALFA_VSVG
B10n4888	4497.68	96.76	5498.25	224.5	3010.36	FLAG_ALFA_VSVG
B10n4891	1892.3	160.495	3968.98	200.4	1991.6	FLAG_ALFA_VSVG
B10n4896	2173.4	143.22	2139.7	192.2	2155.79	FLAG_ALFA_VSVG
B10n4893	1897.15	93.1	2131.5	198.5	1146.2	FLAG_ALFA_VSVG
B10n4894	2258.44	237.06	3695.7	210.72	5018.35	FLAG_ALFA_VSVG
B10n4890	1941.8	217.82	2076.125	208.125	2506.42	FLAG_ALFA_VSVG
B10n4895	2373.7	158.445	2131.12	220.4	2653.5	FLAG_ALFA_VSVG
B10n4892	3023.3	145.8	2535.5	241.3	5955.27	FLAG_ALFA_VSVG
B10n4898	1684.2	189.96	1277.4	209.4	2886.92	FLAG_ALFA_VSVG
B10n4899	4524.74	213.41	4355.14	233.14	4927.16	FLAG_ALFA_VSVG
B10n4897	6174.97	101.8	6209	332	11816.92	FLAG_ALFA_VSVG
B10n4907	3789.45	214.96	3140.31	207.09	4051.7	FLAG_ALFA_VSVG
B10n4904	5381.12	215.39	5905.46	245.04	6092.96	FLAG_ALFA_VSVG
B10n4911	2420.6	204.94	2518.7	201	1745.55	FLAG_ALFA_VSVG
B10n4905	4695.22	214.56	4981.12	242.28	6009.38	FLAG_ALFA_VSVG
B10n4906	4268.3	218.4	4383.18	240.88	4610.16	FLAG_ALFA_VSVG
B10n4908	3957.5	147.205	4432.4	210.35	2965.22	FLAG_ALFA_VSVG
B10n4909	3258.6	145.11	3199.05	201.05	3209.07	FLAG_ALFA_VSVG
B10n4910	4204.79	103.16	4513	235.5	3426.38	FLAG_ALFA_VSVG
B10n4901	5153.54	217.63	3501.545	204.345	3710.88	FLAG_ALFA_VSVG
B10n4902	3432.85	146.96	656.6	218.8	3812.32	FLAG_ALFA_VSVG
B10n4912	6452.48	135	7202.24	269.68	7390.8	FLAG_ALFA_VSVG
B10n4913	1768.7	144.55	1735.6	189	1600.065	FLAG_ALFA_VSVG
B10n4915	5428.9	141.88	4358.9	269.3	6605.155	FLAG_ALFA_VSVG
B10n4916	3485.7	159.065	3748.2	220.6	3040.1	FLAG_ALFA_VSVG
B10n4917	1577.2	144.745	1629.75	194.45	1492.115	FLAG_ALFA_VSVG
B10n4914	2616.75	142.7	3039	190.1	2480.23	FLAG_ALFA_VSVG
B10n4919	1760.8	98.32	2013.25	208	1320.32	FLAG_ALFA_VSVG
B10n4920	5832.2	206.7	4964.39	285.36	7501.91	FLAG_ALFA_VSVG
B10n4921	3592.5	241.32	3858.2	217.275	3618	FLAG_ALFA_VSVG
B10n4922	1660.13	161.97	3000.8	197.2	2001.3	FLAG_ALFA_VSVG
B10n4918	6975.7	153.31	7189.2	271.15	6399.995	FLAG_ALFA_VSVG
B10n4923	3229.02	96.92	3911.5	205.5	2301.32	FLAG_ALFA_VSVG
B10n4926	1798.27	95.41	1858.5	216	1567.62	FLAG_ALFA_VSVG
B10n4924	5126.75	177.45	2965.08	280.2	7587.9	FLAG_ALFA_VSVG
B10n4925	1953.36	168.77	1681.84	213.56	2343.1	FLAG_ALFA_VSVG
B10n4927	3393.4	203.58	3458.4	215.4	2802.35	FLAG_ALFA_VSVG
B10n4929	3985.42	100.43	4855.5	222	3071.52	FLAG_ALFA_VSVG
B10n4930	2460.8	207.16	2711	198.3	1775.37	FLAG_ALFA_VSVG
B10n4928	4666.46	220.47	3511.72	271.82	6726.55	FLAG_ALFA_VSVG
B10n4934	1462.18	106.64	1944.5	208.5	1216.06	FLAG_ALFA_VSVG
B10n4932	3050.8	209.08	2296.28	205.65	3238.15	FLAG_ALFA_VSVG
B10n4933	4569.6	148.39	3962.2	249.6	4892.525	FLAG_ALFA_VSVG
